x,y_mag,y_kin,y_both,d,s,l_mag,l_kin,l_both,labels,y,x_errmin,x_errmax,y_errmin,y_errmax,names
0.39624367920969555,4.053965886463355e-07,2.6922414677335517e-06,1.5745970807684843e-06,3.3200063783924065,0.9040818494536222,,,,,1.5745970807684843e-06,0.0,0.0,0.0,0.0,HD 50499 c
0.982561588732102,8.438929134497519e-07,3.522092955113351e-06,2.249113277161834e-06,3.8479122169923667,0.6988249611419944,,,,,2.249113277161834e-06,0.0,0.0,0.0,0.0,HD 196067 b
0.0718565783216069,1.9073030565561693e-07,5.944057195972145e-06,3.072709519507572e-06,3.944098417654286,0.5119543318193884,,,,,3.072709519507572e-06,0.0,0.0,0.0,0.0,HD 10180 h
0.7363644216357802,1.4272487911751858e-06,2.1816111343912563e-06,1.9603165617601375e-06,1.4090581378268154,0.1476490372356117,,,,,1.9603165617601375e-06,0.0,0.0,0.0,0.0,HD 147873 c
1.1547498667671068,1.672090259402784e-05,7.665744167131868e-05,4.8988118682878635e-05,4.32471293941493,0.027915986459585332,,,,,4.8988118682878635e-05,0.0,0.0,0.0,0.0,HD 142415 b
1.0596449783684634,5.734612950626339e-06,2.2239716667653602e-05,1.4443001734137923e-05,6.051321404633583,-0.862725023362754,,,,,1.4443001734137923e-05,0.0,0.0,0.0,0.0,HD 16417 b
48.470986031258406,1.3002961594814133e-05,4.829596287897511e-06,8.990369858318485e-06,3.944098417654286,-1.2048330519983181,,,,,8.990369858318485e-06,0.0,0.0,0.0,0.0,HD 10180 c
26.853488183036077,3.4050165098674457e-06,8.033703038894585e-07,2.2367370924996143e-06,0.35648793004255486,-1.254186619151882,,,,,2.2367370924996143e-06,0.0,0.0,0.0,0.0,WASP-60 b
223.0155547175832,5.664142286267794e-06,6.930800732577384e-07,3.2154619351623725e-06,3.363720316544521,-1.310231384590694,,,,,3.2154619351623725e-06,0.0,0.0,0.0,0.0,HD 86226 c
26.9926591094166,2.0809698639348376e-05,1.0476049037248879e-05,1.7573986347824877e-05,0.9395415261151024,-1.3007034793531798,,,,,1.7573986347824877e-05,0.0,0.0,0.0,0.0,XO-1 b
12.76536746439124,4.569102674586139e-05,2.081244197304935e-06,2.4032402773706297e-05,0.48375214140223693,-1.3246845555808655,,,,,2.4032402773706297e-05,0.0,0.0,0.0,0.0,WASP-22 b
1.6191344510463026,2.9537129272088844e-06,2.7452471673642363e-07,1.6180127012304449e-06,0.1821331585711701,-1.3838122415242764,,,,,1.6180127012304449e-06,0.0,0.0,0.0,0.0,Kepler-426 b
24.02470169649549,4.8439201534597504e-05,3.9842120844259603e-07,2.4427918305151493e-05,0.3767772538757929,-1.4602857796199735,,,,,2.4427918305151493e-05,0.0,0.0,0.0,0.0,TOI-169 b
0.6417404033635188,1.4905439294757518e-05,7.369388346993927e-05,4.494334740705735e-05,5.868362601180943,0.012487598674541737,,,,,4.494334740705735e-05,0.0,0.0,0.0,0.0,HD 142 b
121.31926067790654,6.931723306226173e-07,1.695920299966892e-06,1.1843242613149788e-06,0.5097320233419249,-1.195241559923851,,,,,1.1843242613149788e-06,0.0,0.0,0.0,0.0,WASP-129 b
4.295097838727887,2.0450826233250595e-05,8.128255686393189e-07,1.066646223864541e-05,0.3531258565220366,-1.2302151397631966,,,,,1.066646223864541e-05,0.0,0.0,0.0,0.0,WASP-113 b
0.9376145511758055,1.0826535542875645e-05,1.3320193096193234e-06,6.077383179389886e-06,0.33914185469555963,-1.2604753451298412,,,,,6.077383179389886e-06,0.0,0.0,0.0,0.0,WASP-151 b
0.1511627524601722,2.789897171080353e-07,1.3861512464446268e-05,7.077728472533329e-06,11.137796373096709,0.9894459669436821,,,,,7.077728472533329e-06,0.0,0.0,0.0,0.0,47 UMa d
1.1483367643752929,1.4942423839494497e-05,0.0001764142617436584,9.61871802502017e-05,8.873077024656478,-0.041217233262874714,,,,,9.61871802502017e-05,0.0,0.0,0.0,0.0,HR 810 b
0.9533376982169265,1.044711385569713e-05,9.235875349173748e-05,5.1531030209336225e-05,5.125526936711886,-0.2860016669146962,,,,,5.1531030209336225e-05,0.0,0.0,0.0,0.0,HD 52265 b
0.9192927378766788,9.902351891924975e-07,8.714087305303483e-06,4.856755908935144e-06,3.7597798721505473,0.278851437065829,,,,,4.856755908935144e-06,0.0,0.0,0.0,0.0,HD 213240 b
0.5462824588075208,1.1801484276475103e-07,1.4013564953399091e-06,7.705181460157884e-07,2.9976948405357553,1.0355980511747283,,,,,7.705181460157884e-07,0.0,0.0,0.0,0.0,HD 11506 d
0.35844836320735063,2.1404723834429512e-07,9.425779255131187e-06,4.922480443189823e-06,5.435672653784913,1.0932992667570351,,,,,4.922480443189823e-06,0.0,0.0,0.0,0.0,HD 150706 b
0.4784220972443971,6.233004516205549e-08,2.0019634035493813e-06,1.0323053646962228e-06,3.295944336213995,0.7126579802484428,,,,,1.0323053646962228e-06,0.0,0.0,0.0,0.0,HD 24040 b
0.2798768233103195,1.679930995408152e-06,2.3800068059753457e-05,1.2924536450813614e-05,6.763774284764308,0.6438588715229191,,,,,1.2924536450813614e-05,0.0,0.0,0.0,0.0,psi1 Dra B b
0.8003837693655824,5.197207170804605e-07,2.289825207759059e-06,1.4216513373449921e-06,1.970837691510676,0.5178526992431127,,,,,1.4216513373449921e-06,0.0,0.0,0.0,0.0,HD 55696 b
0.3248334876739983,1.7070823526697187e-06,1.5344134819744955e-05,8.732545716062956e-06,3.3478688176225644,0.32379752675980206,,,,,8.732545716062956e-06,0.0,0.0,0.0,0.0,HD 187085 b
0.17927261334465242,2.986264841267198e-07,8.69004476898371e-06,4.501987538477991e-06,4.0645298593277674,0.31056231627695063,,,,,4.501987538477991e-06,0.0,0.0,0.0,0.0,HD 114729 b
0.6742736565920125,7.588817283753863e-08,1.988158497266881e-06,1.0334202414137339e-06,2.1709224112600642,0.2873547359771541,,,,,1.0334202414137339e-06,0.0,0.0,0.0,0.0,HD 132406 b
0.280261157700989,1.9178608641857585e-07,9.888089821383657e-06,5.069996856310356e-06,3.4588630908807234,0.18780275477733954,,,,,5.069996856310356e-06,0.0,0.0,0.0,0.0,HD 17674 b
0.3338871144390939,2.890344312927802e-07,3.597975772028678e-05,1.8166322018389156e-05,7.214819598596303,0.06007934549493868,,,,,1.8166322018389156e-05,0.0,0.0,0.0,0.0,HD 210277 b
