Name	Corona Temp. (K)	Wind Speed (km/s)
GJ 1252 b	1301570.0	215.0
GJ 3634 b	1128993.0	351.0
alf Tau b	1134639.0	965.0
HD 33564 b	1962515.0	936.0
HD 114783 b	1134055.0	942.0
HD 114783 c	1148272.0	1082.0
16 Cyg B b	1041415.0	978.0
HD 210277 b	748384.0	939.0
GJ 4276 b	887542.0	598.0
HD 97658 b	1517294.0	595.0
HD 90156 b	1394495.0	764.0
HD 45184 b	1089022.0	554.0
HD 45184 c	1089022.0	647.0
HD 164922 b	848867.0	1004.0
HD 164922 c	848867.0	804.0
HD 164922 d	848867.0	636.0
HD 164922 e	846693.0	753.0
HD 4308 b	1446683.0	660.0
TOI-244 b	887045.0	527.0
HD 63433 b	7330297.0	575.0
HD 63433 c	7330297.0	690.0
HD 19994 b	2321940.0	954.0
HD 18143 b	841516.0	610.0
HD 18143 c	841516.0	1189.0
TOI-2134 b	1502099.0	589.0
TOI-2134 c	1502099.0	814.0
psi1 Dra B b	1821492.0	1071.0
HD 168009 b	855829.0	659.0
HD 1461 b	1054098.0	551.0
HD 1461 c	1054098.0	649.0
HD 207496 b	6061643.0	550.0
TOI-198 b	1093405.0	631.0
BD-210397 b	1057747.0	1023.0
BD-210397 c	1430290.0	1097.0
HD 134060 b	1254457.0	477.0
HD 134060 c	1254457.0	1014.0
HIP 70849 b	1724215.0	1062.0
HD 199509 b	2906771.0	831.0
HD 156668 b	872525.0	503.0
HD 156668 c	877591.0	973.0
HD 42618 b	1623308.0	861.0
WD 1856+534 b	846453.0	215.0
DMPP-4 b	2459536.0	497.0
HD 16417 b	1107160.0	684.0
HD 96700 b	901855.0	589.0
HD 96700 c	901855.0	685.0
HD 96700 d	901855.0	830.0
HIP 57274 b	758213.0	570.0
HIP 57274 c	914737.0	718.0
HIP 57274 d	914737.0	927.0
HD 60532 b	2136452.0	898.0
HD 60532 c	2136452.0	975.0
HD 128356 b	759795.0	911.0
HD 30562 b	1695965.0	1012.0
HD 134987 b	962746.0	904.0
HD 134987 c	962746.0	1095.0
HD 142 A d	1898323.0	843.0
HD 142 b	1898323.0	930.0
HD 142 c	1898323.0	1141.0
HD 39194 b	764975.0	527.0
HD 39194 c	764975.0	636.0
HD 39194 d	764975.0	724.0
LP 791-18 b	4889788.0	215.0
LP 791-18 c	4889788.0	363.0
LP 791-18 d	4889788.0	216.0
HD 216437 b	1405820.0	1021.0
AF Lep b	37791749.0	1128.0
HD 181433 b	987701.0	594.0
HD 181433 c	1033699.0	984.0
HD 181433 d	1033699.0	1036.0
BD-11 4672 b	929666.0	1013.0
BD-11 4672 c	929666.0	788.0
TOI-776 b	862749.0	557.0
TOI-776 c	862749.0	631.0
HD 179949 b	4131297.0	476.0
TOI-836 b	1161713.0	465.0
TOI-836 c	1161713.0	582.0
HD 155918 b	740250.0	368.0
HD 155918 c	740250.0	1165.0
HD 82943 b	2248732.0	944.0
HD 82943 c	2248732.0	894.0
HD 176986 b	1398733.0	550.0
HD 176986 c	1398733.0	659.0
HD 114386 b	3667784.0	982.0
HD 125595 b	1332305.0	594.0
HD 13808 b	982270.0	640.0
HD 13808 c	982270.0	767.0
HD 164595 b	1046897.0	753.0
HD 150706 b	1935714.0	1108.0
HD 207897 b	999858.0	655.0
HD 93083 b	3761080.0	844.0
HD 204941 b	973853.0	1020.0
HD 218566 b	876755.0	886.0
HD 111232 b	1281626.0	1004.0
HD 111232 c	701849.0	1187.0
HD 75289 b	1303565.0	503.0
HD 219077 b	888567.0	1097.0
HD 70642 b	4292424.0	1045.0
HD 102195 b	2072069.0	503.0
GJ 3470 b	2533628.0	420.0
HD 46375 b	882072.0	450.0
GJ 9827 b	749143.0	216.0
GJ 9827 c	749143.0	447.0
GJ 9827 d	749143.0	527.0
51 Eri b	42252434.0	1166.0
HD 52265 b	1753852.0	854.0
HD 101930 b	3637695.0	788.0
kap CrB b	1820919.0	1018.0
HD 75302 b	2419827.0	1087.0
GJ 9689 b	804136.0	652.0
HD 162020 b	982050.0	594.0
HD 29021 b	985831.0	1009.0
TOI-700 b	2600314.0	564.0
TOI-700 c	2600314.0	619.0
TOI-700 d	2600314.0	706.0
TOI-700 e	2600314.0	677.0
HD 221420 b	1730408.0	1143.0
HD 50554 b	2364821.0	1012.0
iot Dra b	2229249.0	965.0
iot Dra c	2229249.0	1197.0
HD 185283 b	1119323.0	1075.0
HR 5183 b	1012408.0	1191.0
HD 73583 b	6317283.0	575.0
HD 73583 c	6317283.0	666.0
HD 37124 b	1491382.0	857.0
HD 37124 c	1491382.0	981.0
HD 37124 d	1491382.0	1029.0
HD 130322 b	8127128.0	619.0
HD 89307 b	2349878.0	1044.0
HD 110067 b	915794.0	592.0
HD 110067 d	915794.0	680.0
HD 110067 f	915794.0	745.0
HD 117207 b	1509943.0	1057.0
HD 98736 b	1004492.0	990.0
HD 63765 b	1252808.0	920.0
HD 22781 b	1284161.0	943.0
mu Leo b	1895197.0	936.0
HD 216435 b	1978731.0	1021.0
TOI-620 b	924563.0	496.0
HD 10697 b	1060729.0	999.0
HD 197037 b	2614799.0	1000.0
HD 111998 b	2951333.0	992.0
HD 88986 b	1033372.0	867.0
