Name	Corona Temp. (K)	Wind Speed (km/s)
11 UMi b	3603689.0	378.0
14 And b	1622297.0	337.0
14 Her b	1538612.0	410.0
16 Cyg B b	1041415.0	382.0
17 Sco b	1363711.0	375.0
18 Del b	4293878.0	404.0
24 Boo b	1081288.0	229.0
24 Sex b	2201495.0	370.0
24 Sex c	2201495.0	395.0
30 Ari B b	4801996.0	352.0
4 UMa b	1467904.0	345.0
42 Dra b	864848.0	363.0
47 UMa b	1131672.0	395.0
47 UMa c	1131672.0	423.0
47 UMa d	1131672.0	477.0
51 Eri b	42252434.0	483.0
51 Peg b	846008.0	100.0
55 Cnc b	1220102.0	160.0
55 Cnc c	810575.0	249.0
55 Cnc d	1220102.0	447.0
55 Cnc e	810575.0	100.0
55 Cnc f	810575.0	337.0
6 Lyn b	2338909.0	393.0
61 Vir b	889134.0	100.0
61 Vir c	889134.0	240.0
61 Vir d	889134.0	304.0
7 CMa b	1565685.0	385.0
7 CMa c	1565685.0	396.0
70 Vir b	1010831.0	305.0
8 UMi b	2967745.0	306.0
91 Aqr b	1792610.0	331.0
AF Lep b	37791749.0	463.0
AU Mic b	36874174.0	100.0
AU Mic c	36874174.0	154.0
BD+03 2562 b	1331055.0	368.0
BD+15 2375 b	1040492.0	318.0
BD+15 2940 b	1074703.0	313.0
BD+20 594 b	1944699.0	250.0
BD+49 828 b	2416935.0	430.0
BD-06 1339 c	1343732.0	298.0
BD-08 2823 b	1239047.0	100.0
BD-08 2823 c	1338175.0	329.0
BD-10 3166 b	4279772.0	100.0
BD-11 4672 b	929666.0	401.0
BD-11 4672 c	929666.0	269.0
BD-13 2130 b	5621845.0	382.0
BD-17 63 b	1380327.0	370.0
BD-210397 b	1057747.0	407.0
BD-210397 c	1430290.0	447.0
CD Cet b	1360449.0	100.0
COCONUTS-2 b	5763994.0	701.0
CoRoT-1 b	2858681.0	100.0
CoRoT-10 b	1831667.0	144.0
CoRoT-11 b	2591836.0	100.0
CoRoT-12 b	1157873.0	100.0
CoRoT-13 b	2888980.0	100.0
CoRoT-14 b	1531966.0	100.0
CoRoT-16 b	1113203.0	100.0
CoRoT-17 b	811681.0	100.0
CoRoT-18 b	32795480.0	100.0
CoRoT-19 b	1384541.0	99.0
CoRoT-2 b	1998208.0	100.0
CoRoT-20 b	18763186.0	100.0
CoRoT-20 c	18763186.0	412.0
CoRoT-21 b	1602482.0	100.0
CoRoT-22 b	1791821.0	100.0
CoRoT-23 b	1073845.0	100.0
CoRoT-24 b	771654.0	99.0
CoRoT-24 c	771654.0	122.0
CoRoT-25 b	1451407.0	100.0
CoRoT-26 b	946023.0	100.0
CoRoT-27 b	1505599.0	100.0
CoRoT-28 b	748384.0	100.0
CoRoT-29 b	1415510.0	100.0
CoRoT-3 b	2466489.0	100.0
CoRoT-30 b	1867113.0	100.0
CoRoT-31 b	1453136.0	100.0
CoRoT-35 b	1165094.0	100.0
CoRoT-36 b	2526562.0	100.0
CoRoT-4 b	4100362.0	100.0
CoRoT-5 b	1071300.0	100.0
CoRoT-6 b	2143716.0	100.0
CoRoT-7 b	2564942.0	100.0
CoRoT-7 c	2609008.0	100.0
CoRoT-8 b	1827591.0	100.0
CoRoT-9 b	1164719.0	292.0
DMPP-1 b	2558527.0	198.0
DMPP-1 c	2558527.0	100.0
DMPP-1 d	2558527.0	100.0
DMPP-1 e	2558527.0	100.0
DMPP-2 b	2657718.0	100.0
DMPP-3 A b	767906.0	99.0
DMPP-4 b	2459536.0	100.0
EPIC 211822797 b	4351199.0	169.0
EPIC 211945201 b	1597493.0	200.0
EPIC 220674823 b	1002032.0	99.0
EPIC 220674823 c	1002032.0	150.0
EPIC 229004835 b	1336735.0	174.0
EPIC 246851721 b	1976257.0	100.0
EPIC 249893012 b	910202.0	100.0
EPIC 249893012 c	910202.0	182.0
EPIC 249893012 d	910202.0	242.0
GJ 1061 b	706136.0	100.0
GJ 1061 c	706136.0	100.0
GJ 1061 d	706136.0	100.0
GJ 1132 b	960177.0	99.0
GJ 1132 c	960177.0	100.0
GJ 1214 b	1385340.0	100.0
GJ 1252 b	1301570.0	99.0
GJ 143 b	1498063.0	228.0
GJ 163 b	972915.0	100.0
GJ 163 c	972915.0	176.0
GJ 163 d	972915.0	355.0
GJ 229 A c	6798943.0	288.0
GJ 229 b	6798943.0	358.0
GJ 3021 b	7799293.0	306.0
GJ 317 b	1114401.0	361.0
GJ 317 c	1114401.0	441.0
GJ 338 B b	1409371.0	194.0
GJ 3470 b	2533628.0	100.0
GJ 3512 b	839940.0	278.0
GJ 3512 c	839940.0	368.0
GJ 3634 b	1128993.0	100.0
GJ 3929 b	824819.0	100.0
GJ 3929 c	824819.0	100.0
GJ 411 b	790561.0	100.0
GJ 414 A b	658824.0	247.0
GJ 414 A c	658824.0	373.0
GJ 4276 b	887542.0	100.0
GJ 436 b	1003723.0	100.0
GJ 514 b	4183813.0	296.0
GJ 536 b	6817811.0	100.0
GJ 581 b	1172177.0	100.0
GJ 581 c	1172177.0	100.0
GJ 581 e	1172177.0	100.0
GJ 649 b	6398940.0	359.0
GJ 674 b	5158219.0	100.0
GJ 806 b	1109386.0	100.0
GJ 806 c	1109386.0	100.0
GJ 832 b	809918.0	424.0
GJ 849 b	1612467.0	400.0
GJ 849 c	1612467.0	438.0
GJ 86 b	762299.0	154.0
GJ 876 b	3328524.0	236.0
GJ 876 c	3328524.0	181.0
GJ 876 d	3328524.0	100.0
GJ 876 e	3328524.0	278.0
GJ 887 b	1684587.0	100.0
GJ 887 c	1684587.0	169.0
GJ 9689 b	804136.0	160.0
GJ 9827 b	749143.0	100.0
GJ 9827 c	749143.0	100.0
GJ 9827 d	749143.0	99.0
GPX-1 b	10622581.0	100.0
HAT-P-1 b	1705462.0	100.0
HAT-P-11 b	1063607.0	100.0
HAT-P-11 c	1063607.0	430.0
HAT-P-12 b	1999251.0	99.0
HAT-P-13 b	1412102.0	100.0
HAT-P-13 c	1412102.0	367.0
HAT-P-14 b	3507027.0	100.0
HAT-P-15 b	1081695.0	114.0
HAT-P-16 b	2571402.0	100.0
HAT-P-17 b	985788.0	100.0
HAT-P-17 c	969246.0	444.0
HAT-P-18 b	685595.0	99.0
