Name	Corona Temp. (K)	Wind Speed (km/s)
Kepler-26 b	1685785.0	408.0
Kepler-114 d	1809785.0	405.0
Kepler-81 c	1506862.0	405.0
Kepler-159 b	1940322.0	403.0
Kepler-252 c	602116.0	400.0
Kepler-83 b	1694145.0	389.0
Kepler-210 c	2555718.0	384.0
Kepler-235 c	1046695.0	375.0
Kepler-114 c	1809785.0	375.0
Kepler-309 b	1726111.0	363.0
Kepler-252 b	602116.0	361.0
Kepler-303 c	1571483.0	359.0
Kepler-155 b	1760112.0	357.0
Kepler-120 b	1511360.0	355.0
Kepler-114 b	1919684.0	350.0
Kepler-81 b	1506862.0	348.0
Kepler-83 d	1653740.0	345.0
HD 260655 c	1124201.0	336.0
Kepler-26 d	1729116.0	310.0
TOI-3757 b	952852.0	308.0
Kepler-235 b	1046695.0	303.0
Kepler-210 b	2555718.0	283.0
Kepler-94 b	3032859.0	279.0
HD 260655 b	1124201.0	271.0
Kepler-303 b	1571483.0	242.0
HD 36384 b	17443468.0	659.0
TOI-1899 b	923502.0	475.0
EPIC 211822797 b	4351199.0	445.0
TOI-1728 b	955987.0	310.0
LP 791-18 c	4889788.0	272.0
LP 791-18 d	4889788.0	214.0
LP 791-18 b	4889788.0	106.0
K2-3 d	941304.0	499.0
K2-3 c	941304.0	459.0
K2-3 b	941304.0	392.0
TOI-519 b	1015613.0	180.0
TOI-540 b	2815839.0	140.0
GJ 163 d	972915.0	642.0
GJ 163 c	972915.0	450.0
GJ 163 b	972915.0	367.0
Kepler-45 b	5947113.0	274.0
Kepler-42 d	983060.0	175.0
Kepler-42 b	983060.0	131.0
Kepler-42 c	983060.0	40.0
TOI-1075 b	1053940.0	131.0
HD 113538 c	1315507.0	706.0
HD 113538 b	1315507.0	656.0
TOI-2525 c	1493923.0	520.0
TOI-2202 c	970973.0	473.0
TOI-2525 b	1493923.0	470.0
TOI-2202 b	970973.0	420.0
BD-11 4672 c	929666.0	537.0
BD-06 1339 c	1343732.0	570.0
WASP-80 b	942411.0	293.0
BD-210397 c	1430290.0	765.0
HIP 70849 b	1724215.0	739.0
BD-210397 b	1057747.0	711.0
BD-11 4672 b	929666.0	703.0
GJ 414 A c	658824.0	665.0
Kepler-61 b	3706311.0	519.0
Kepler-287 c	998077.0	518.0
GJ 414 A b	658824.0	513.0
Kepler-287 b	998077.0	466.0
K2-141 c	1055921.0	381.0
GJ 9827 d	1130783.0	358.0
HS Psc b	14736993.0	324.0
GJ 9827 c	1130783.0	312.0
GJ 9827 b	1130783.0	206.0
WASP-43 b	942411.0	163.0
K2-141 b	1055921.0	67.0
PDS 70 b	51538903.0	841.0
HAT-P-54 b	1438476.0	317.0
TOI-1130 c	1414259.0	387.0
TOI-1130 b	1414259.0	328.0
KOI-7913 b	30327993.0	466.0
TOI-1260 d	1003713.0	438.0
TOI-1260 c	1003713.0	376.0
TOI-1260 b	1003713.0	302.0
TOI-500 b	1245580.0	135.0
WASP-107 b	1594923.0	355.0
K2-136 d	5128279.0	472.0
K2-136 c	5128279.0	444.0
K2-136 b	5128279.0	385.0
HIP 54597 b	1402325.0	740.0
BD-17 63 b	1380327.0	662.0
TOI-2134 c	1502099.0	556.0
HD 85512 b	1033457.0	524.0
TOI-2134 b	1502099.0	397.0
WASP-59 b	6128255.0	384.0
WASP-10 b	995258.0	306.0
Qatar-9 b	941860.0	238.0
NGTS-10 b	752752.0	164.0
HD 113996 b	1935012.0	675.0
alf Tau b	1134639.0	668.0
HD 233604 b	2369528.0	616.0
Kepler-80 c	2334188.0	399.0
Kepler-80 b	2334188.0	375.0
Kepler-80 e	2334188.0	340.0
WASP-69 b	1056275.0	330.0
Kepler-80 d	2334188.0	304.0
Kepler-80 f	2334188.0	195.0
HD 108202 b	1043054.0	734.0
TOI-712 d	4314374.0	549.0
TOI-712 c	4314374.0	518.0
TOI-712 b	4314374.0	399.0
HD 285507 b	5356640.0	365.0
GJ 143 b	1498063.0	494.0
HD 21749 c	1498063.0	383.0
HIP 57274 d	914737.0	640.0
HIP 57274 c	914737.0	487.0
HD 73583 c	6317283.0	449.0
HD 190007 b	3821017.0	416.0
HD 125595 b	1332305.0	400.0
HIP 57274 b	758213.0	384.0
HD 73583 b	6317283.0	366.0
HD 63454 b	3467737.0	313.0
OGLE-TR-113 b	660259.0	235.0
TOI-824 b	938999.0	228.0
HIP 65 A b	1441146.0	197.0
bet Cnc b	2897829.0	679.0
bet UMi b	2032847.0	665.0
HAT-P-11 c	1063607.0	742.0
Kepler-167 e	994314.0	687.0
Kepler-167 d	994314.0	462.0
Kepler-167 c	994314.0	381.0
WASP-132 b	1707620.0	379.0
HAT-P-11 b	1063607.0	349.0
Kepler-167 b	994314.0	338.0
HAT-P-12 b	1999251.0	308.0
HD 114386 b	3667784.0	681.0
HD 192310 c	938274.0	652.0
HD 218566 b	876755.0	610.0
HD 192310 b	938274.0	543.0
HD 20868 b	1182984.0	635.0
Wolf 503 b	722944.0	359.0
HD 16905 b	1121557.0	791.0
HD 185283 b	1119323.0	749.0
HD 219134 h	687650.0	722.0
HD 215497 c	1180271.0	660.0
HD 128356 b	759795.0	628.0
BD-08 2823 c	1338175.0	608.0
HD 93083 b	3761080.0	578.0
HD 219134 g	687650.0	557.0
K2-110 b	907497.0	428.0
HD 162020 b	982050.0	400.0
HD 219134 c	750463.0	376.0
BD-08 2823 b	1239047.0	365.0
HD 215497 b	971417.0	343.0
HD 103720 b	1521773.0	342.0
WASP-11 b	1093289.0	324.0
HD 219134 b	750463.0	309.0
NGTS-21 b	776511.0	239.0
HD 181433 d	1033699.0	720.0
HD 181433 c	1033699.0	682.0
HD 181433 b	987701.0	400.0
17 Sco b	1363711.0	668.0
HD 240210 b	1258014.0	651.0
NGC 2682 Sand 364 b	2689940.0	587.0
K2-233 d	7791906.0	471.0
K2-101 b	4551077.0	438.0
Kepler-91 b	1518198.0	389.0
K2-233 c	7791906.0	378.0
WASP-156 b	1083267.0	330.0
WASP-89 b	3281940.0	322.0
HAT-P-20 b	1027897.0	300.0
K2-233 b	7791906.0	288.0
HD 3765 b	2400136.0	695.0
TOI-238 c	1398733.0	392.0
TOI-238 b	1398733.0	223.0
HD 40307 f	1349040.0	519.0
HD 40307 d	1349040.0	456.0
HD 176986 c	1398733.0	444.0
HD 40307 c	1349040.0	400.0
HD 176986 b	1398733.0	371.0
HD 207496 b	6061643.0	371.0
HD 40307 b	1349040.0	334.0
eps Ind A b	1302682.0	808.0
HD 25015 b	1494950.0	769.0
HD 27894 d	672978.0	759.0
eps Eri b	5510615.0	731.0
HD 108341 b	1296470.0	691.0
Kepler-411 d	11276861.0	530.0
HD 104067 b	1326330.0	524.0
HD 13808 c	982270.0	522.0
HD 27894 c	670950.0	497.0
Kepler-411 e	11276861.0	491.0
HD 192263 b	2223008.0	469.0
HD 27894 b	1502554.0	450.0
HD 99492 b	1317936.0	445.0
HD 13808 b	982270.0	431.0
Kepler-411 c	11276861.0	391.0
K2-180 b	804440.0	390.0
HD 235088 b	4970205.0	387.0
K2-36 c	3034608.0	355.0
HD 18599 b	7343552.0	337.0
OGLE-TR-111 b	871688.0	335.0
Qatar-6 b	3808621.0	321.0
WASP-45 b	691330.0	312.0
Kepler-411 b	11276861.0	305.0
WASP-144 b	875183.0	281.0
HD 189733 b	3034608.0	280.0
WASP-52 b	7356530.0	260.0
WASP-145 A b	999084.0	254.0
K2-36 b	3034608.0	235.0
WTS-2 b	5510615.0	204.0
HD 137388 b	1029834.0	630.0
HD 110014 b	4770689.0	696.0
iot Dra b	2229249.0	668.0
HD 150010 b	1426114.0	665.0
eps CrB b	3020163.0	659.0
HD 66141 b	1101387.0	653.0
mu Leo b	1895197.0	647.0
HD 59686 A b	3101982.0	646.0
HD 18143 c	841516.0	833.0
HD 174205 b	3103922.0	679.0
HD 156668 c	877591.0	674.0
HD 216520 c	1125281.0	587.0
HD 216520 b	1125281.0	497.0
HD 18143 b	841516.0	411.0
HAT-P-18 b	685595.0	357.0
HD 156668 b	872525.0	343.0
HATS-7 b	951950.0	314.0
WASP-177 b	831045.0	312.0
GJ 86 b	762299.0	436.0
7 CMa c	1565685.0	697.0
HD 204941 b	973853.0	709.0
HD 27442 b	884098.0	658.0
TOI-444 b	5855548.0	456.0
HD 85390 b	979464.0	664.0
42 Dra b	864848.0	653.0
TOI-1268 b	10395948.0	386.0
HD 103197 b	847772.0	520.0
HD 114783 c	1148272.0	754.0
HD 101930 b	3637695.0	537.0
HD 15337 c	1280534.0	451.0
CoRoT-10 b	1831667.0	431.0
CoRoT-24 c	771654.0	423.0
HD 97658 b	1517294.0	401.0
CoRoT-8 b	1827591.0	371.0
CoRoT-24 b	771654.0	357.0
HD 15337 b	1280534.0	348.0
Kepler-425 b	1306841.0	333.0
Kepler-428 b	1288403.0	324.0
NGTS-14 A b	1161255.0	314.0
HD 2638 b	1780652.0	313.0
Qatar-4 b	13080288.0	264.0
HD 46375 b	882072.0	313.0
HD 1605 c	1548754.0	732.0
gam Cep b	1360740.0	693.0
HD 1605 b	1548754.0	670.0
HD 7199 b	1021622.0	663.0
HD 167042 b	2473765.0	655.0
HD 210702 b	2530389.0	645.0
gam1 Leo b	2267240.0	653.0
HD 154391 b	4281699.0	780.0
HIP 56640 b	1025110.0	748.0
HD 47536 b	1010480.0	689.0
HD 29399 b	1191870.0	688.0
HD 47366 c	3223470.0	685.0
7 CMa b	1565685.0	682.0
HD 25723 b	4749125.0	670.0
HIP 90988 b	1572996.0	663.0
HD 1690 b	1268716.0	663.0
HD 47366 b	3223470.0	654.0
HD 76920 b	1090385.0	650.0
4 UMa b	1467904.0	629.0
HD 32518 b	1231418.0	597.0
V1298 Tau e	45916446.0	516.0
V1298 Tau b	37957425.0	481.0
V1298 Tau d	37957425.0	434.0
K2-105 b	5735013.0	405.0
V1298 Tau c	37957425.0	403.0
HIP 116454 b	2351310.0	396.0
HAT-P-26 b	924532.0	337.0
HAT-P-19 b	993280.0	332.0
HD 330075 b	981324.0	313.0
HAT-P-52 b	850608.0	303.0
WASP-2 b	933037.0	280.0
HD 149806 b	928237.0	812.0
HD 145675 c	1260412.0	810.0
HD 69830 d	1025653.0	602.0
HD 69830 c	1025653.0	491.0
HD 69830 b	1025653.0	398.0
HD 62509 b	4598268.0	677.0
HD 95338 b	1262065.0	524.0
HD 7924 d	4230000.0	473.0
HD 7924 c	4230000.0	439.0
HD 7924 b	4064388.0	365.0
HD 110067 f	915794.0	506.0
HD 110067 d	915794.0	459.0
HD 110067 b	915794.0	399.0
HD 73267 c	944686.0	813.0
HD 83443 c	2045558.0	785.0
HD 95872 b	772577.0	756.0
14 Her b	1538612.0	715.0
HD 73267 b	944686.0	699.0
HD 3167 e	949412.0	560.0
HD 3651 b	1793859.0	535.0
HD 39194 d	764975.0	490.0
K2-139 b	2640390.0	488.0
HD 3167 c	949412.0	486.0
TOI-262 b	4589714.0	478.0
TOI-125 d	1045663.0	460.0
HIP 97166 c	1709399.0	449.0
HD 207897 b	999858.0	442.0
HD 39194 c	764975.0	429.0
HD 130322 b	8127128.0	417.0
TOI-220 b	798251.0	412.0
HIP 97166 b	1709399.0	412.0
Kepler-75 b	1126122.0	403.0
TOI-125 c	1045663.0	402.0
HD 3167 d	949412.0	394.0
DMPP-3 A b	767906.0	377.0
HD 39194 b	764975.0	357.0
TOI-125 b	1045663.0	347.0
HD 102195 b	2072069.0	343.0
WASP-160 B b	826023.0	329.0
HD 83443 b	2045558.0	315.0
BD-10 3166 b	4279772.0	313.0
TrES-1 b	1639207.0	311.0
NGTS-25 b	1659283.0	309.0
CoRoT-29 b	1415510.0	309.0
XO-2 N b	981134.0	302.0
NGTS-8 b	707130.0	295.0
HD 3167 b	949412.0	199.0
TOI-332 b	1291529.0	180.0
HD 221416 b	1403228.0	448.0
HD 166724 b	1476840.0	760.0
HD 154088 b	950785.0	457.0
55 Cnc b	1220102.0	439.0
HD 4732 c	3254311.0	751.0
24 Sex c	2201495.0	694.0
6 Lyn b	2338909.0	692.0
HD 10442 b	808294.0	692.0
HD 5608 b	2881483.0	683.0
24 Sex b	2201495.0	661.0
HD 4732 b	3254311.0	649.0
HD 180902 b	2108544.0	665.0
HD 98219 b	1661472.0	657.0
HD 148427 b	2349298.0	642.0
kap CrB b	1820919.0	707.0
HD 184010 d	2109675.0	688.0
HD 184010 c	2109675.0	661.0
HD 184010 b	2109675.0	634.0
HD 81688 b	3083452.0	604.0
HD 112570 b	1292752.0	738.0
HD 219415 b	1038461.0	724.0
HIP 114933 b	1845611.0	716.0
HD 111591 b	3574937.0	707.0
gam Lib c	2206811.0	702.0
HD 33844 c	2893960.0	699.0
HIP 75092 b	1549794.0	692.0
HD 33142 c	2184532.0	690.0
HD 30856 b	1650638.0	686.0
HD 102329 b	3658841.0	684.0
HD 206610 b	2054566.0	681.0
HD 112640 b	3233400.0	679.0
HD 33844 b	2913994.0	675.0
HD 181342 b	2948303.0	675.0
HD 60292 b	2951862.0	670.0
gam Lib b	2206811.0	661.0
HD 17092 b	3239252.0	660.0
HD 33142 b	2184532.0	645.0
14 And b	1622297.0	619.0
91 Aqr b	1792610.0	611.0
omi CrB b	1049611.0	611.0
xi Aql b	1201982.0	601.0
HD 33142 d	2184532.0	574.0
HD 145934 b	3381213.0	753.0
BD+49 828 b	2416935.0	743.0
HD 87883 b	958111.0	741.0
HD 37605 c	1206803.0	735.0
HD 12661 c	1132248.0	716.0
HD 142245 b	2948381.0	715.0
HD 191806 b	1944845.0	714.0
HD 131496 b	2137841.0	692.0
HD 99706 b	2578562.0	691.0
HD 128311 c	3981140.0	681.0
HD 42012 b	1459433.0	678.0
HD 152581 b	798537.0	678.0
HD 116029 b	1942429.0	677.0
HD 38801 b	1217786.0	676.0
HD 158038 b	2237884.0	670.0
HD 40956 b	3703951.0	665.0
HD 108863 b	2911967.0	661.0
HD 24064 b	1013259.0	659.0
HD 95127 b	1728536.0	658.0
HD 1502 b	2356223.0	657.0
HD 114783 b	1134055.0	651.0
HD 177830 b	1628515.0	649.0
HD 19615 b	1116483.0	647.0
HD 128311 b	3981140.0	646.0
HD 12661 b	1175332.0	625.0
HD 145457 b	2359854.0	618.0
HD 216536 b	1529422.0	599.0
