Name	Corona Temp. (K)	Wind Speed (km/s)
HAT-P-4 b	1397875.0	77.0
HAT-P-49 b	3525633.0	77.0
HATS-12 b	2274199.0	77.0
HATS-26 b	1621056.0	95.0
HATS-27 b	2410998.0	138.0
HATS-3 b	1866188.0	102.0
K2-34 b	1986441.0	77.0
KELT-4 A b	1495588.0	77.0
KELT-7 b	3704136.0	77.0
Kepler-76 b	5732877.0	77.0
TOI-150.01	2354403.0	153.0
TOI-163 b	2830151.0	131.0
TOI-1789 b	2176100.0	104.0
TOI-2109 b	2891415.0	77.0
TOI-4603 b	3169144.0	173.0
TOI-892 b	2432893.0	176.0
WASP-186 b	1909861.0	136.0
WASP-187 b	2287522.0	145.0
HATS-24 b	1648998.0	77.0
HD 5278 b	1921886.0	196.0
HD 5278 c	1921886.0	238.0
TOI-4127 b	1427802.0	251.0
TOI-5126 b	4838194.0	145.0
TOI-5126 c	4838194.0	208.0
TOI-558 b	2829158.0	200.0
TOI-2010 b	2614799.0	279.0
51 Eri b	42252434.0	396.0
WASP-172 b	2885048.0	151.0
GPX-1 b	10622581.0	77.0
WASP-100 b	2789104.0	77.0
TOI-615 b	2971803.0	149.0
CoRoT-3 b	2466489.0	131.0
CoRoT-36 b	2526562.0	146.0
HD 114082 b	45068258.0	275.0
TOI-778 b	2688479.0	136.0
HAT-P-33 b	2540015.0	108.0
WASP-17 b	2430774.0	114.0
WASP-93 b	5368008.0	77.0
KELT-18 b	2781905.0	77.0
Qatar-7 b	2967356.0	77.0
TOI-2152 A b	4891153.0	111.0
HAT-P-50 b	1820874.0	77.0
WASP-120 b	2209747.0	114.0
WASP-79 b	3364588.0	115.0
XO-6 b	2783094.0	166.0
Kepler-40 b	2130340.0	164.0
DMPP-2 b	2657718.0	147.0
EPIC 246851721 b	1976257.0	155.0
HAT-P-14 b	3507027.0	135.0
HD 103774 b	4063808.0	152.0
HD 106315 b	1455743.0	175.0
HD 106315 c	1455743.0	212.0
HD 206893 b	14656199.0	386.0
HD 206893 c	14656199.0	353.0
HIP 21152 b	5697963.0	404.0
NGTS-2 b	2583408.0	141.0
OGLE-TR-132 b	3692429.0	77.0
XO-4 b	2437262.0	125.0
DMPP-4 b	2459536.0	102.0
XO-3 b	1762387.0	97.0
HAT-P-8 b	1810072.0	77.0
WASP-101 b	3882642.0	111.0
WASP-118 b	3767755.0	123.0
WASP-88 b	1851626.0	143.0
WASP-90 b	1593904.0	127.0
HD 60532 b	2136452.0	294.0
HD 60532 c	2136452.0	324.0
Kepler-21 b	2088542.0	77.0
WASP-18 b	3066915.0	77.0
30 Ari B b	4801996.0	304.0
CoRoT-11 b	2591836.0	77.0
CoRoT-35 b	1165094.0	77.0
HD 111998 b	2951333.0	330.0
HD 113337 b	15106894.0	306.0
HD 113337 c	15106894.0	375.0
HD 33564 b	1962515.0	309.0
K2-260 b	2732415.0	77.0
TOI-1107 b	2196368.0	127.0
TOI-201 b	4617653.0	249.0
TOI-622 b	4505255.0	153.0
WASP-121 b	3196287.0	77.0
WASP-158 b	2699595.0	115.0
WASP-174 b	2417482.0	124.0
WTS-1 b	2172311.0	93.0
HAT-P-30 b	4321922.0	77.0
HAT-P-9 b	3022948.0	118.0
KELT-24 b	5066739.0	152.0
WASP-15 b	2256023.0	115.0
WASP-175 b	2818109.0	77.0
WASP-72 b	2253175.0	77.0
WASP-76 b	1391123.0	77.0
WASP-92 b	2333163.0	77.0
HD 1666 b	2922222.0	302.0
HD 169830 c	2389738.0	348.0
HD 197037 b	2614799.0	333.0
HD 205739 b	2026264.0	300.0
HD 221287 b	3469696.0	314.0
HD 62364 b	1618850.0	372.0
HD 86264 b	2395700.0	344.0
HD 89744 b	2920582.0	301.0
HD 89839 b	2990643.0	363.0
K2-167 b	1016275.0	175.0
KELT-16 b	1906577.0	77.0
Kepler-39 b	2514972.0	216.0
Qatar-10 b	1849789.0	77.0
TOI-1670 b	2187630.0	185.0
TOI-1670 c	2187630.0	240.0
TOI-4562 b	5266382.0	294.0
WASP-1 b	1800871.0	77.0
WASP-180 A b	3692429.0	99.0
tau Boo b	2611765.0	104.0
HD 22946 d	2163600.0	249.0
TOI-411 b	2163600.0	130.0
TOI-411 c	2163600.0	184.0
HD 142 A d	1898323.0	272.0
HD 142 c	1898323.0	387.0
HAT-P-16 b	2571402.0	77.0
HAT-P-2 b	3272756.0	149.0
HAT-P-24 b	2095789.0	88.0
HAT-P-29 b	2495208.0	147.0
HAT-P-56 b	2641284.0	77.0
HD 132563 b	2334791.0	342.0
HD 148164 b	2261030.0	304.0
HD 148164 c	2261030.0	372.0
HD 23596 b	1245258.0	343.0
HD 31253 b	2096549.0	314.0
HD 332231 b	1508009.0	207.0
HD 8574 b	1315134.0	293.0
HD 86081 b	1720803.0	77.0
KELT-2 A b	1703220.0	124.0
KELT-6 b	1260732.0	164.0
KELT-6 c	1382022.0	339.0
TOI-1338 b	1484985.0	271.0
TOI-1338 c	1484985.0	295.0
TOI-677 b	1974906.0	185.0
WASP-142 b	2615692.0	77.0
WASP-150 b	2029751.0	151.0
WASP-169 b	1699296.0	149.0
WASP-28 b	1242747.0	77.0
WASP-71 b	1776177.0	85.0
WASP-94 A b	2240195.0	124.0
WASP-99 b	1949252.0	154.0
CoRoT-21 b	1602482.0	77.0
HD 156411 b	1546478.0	330.0
AF Lep b	37791749.0	382.0
DMPP-1 b	2558527.0	209.0
DMPP-1 c	2558527.0	156.0
DMPP-1 d	2558527.0	77.0
DMPP-1 e	2558527.0	145.0
HD 110082 b	10618749.0	191.0
HD 13908 b	2021165.0	212.0
HD 13908 c	2021165.0	333.0
HD 153950 b	1541682.0	315.0
HD 169830 b	2028291.0	293.0
HD 179949 b	4131297.0	77.0
HD 196885 A b	1920892.0	338.0
HD 19994 b	2321940.0	316.0
HD 212301 b	4321922.0	77.0
HD 217786 b	1036523.0	340.0
HD 217786 c	1036523.0	77.0
HD 231701 b	1780977.0	280.0
HD 25171 b	1386902.0	347.0
HD 40979 b	1806477.0	298.0
HD 50554 b	2364821.0	338.0
HD 67087 b	3271195.0	308.0
HD 67087 c	3271195.0	356.0
K2-98 b	1346485.0	180.0
Kepler-117 b	1311729.0	208.0
