Name,Freq(MHz),Flux(mJy)
GJ 536 b,256.46,0.142
GJ 581 c,307.49,0.048
GJ 887 b,303.20,0.158
Ross 128 b,413.30,0.040
V1298 Tau c,291.60,0.042
tau Boo b,228.73,0.327
