Names,x,y_mag,y_kin,y_both,d,s,l_mag,l_kin,l_both,y_err_min,y_err_max,x_err_min,x_err_max,Color
Teegarden's Star d,7.416452782458197,7.283481560431403e-10,0.00034094361724816135,0.00017047222818528877,40.11319763095332,-1.0941535994927778,,,,8.557937876659092e-05,0.00014443421881518383,3.4406556783719675,7.372664745523121,black
Teegarden's Star c,12.895658730988899,5.439040653080237e-08,0.0005030782918810206,0.0002515644883048086,40.11319763095332,-1.3621297179734315,,,,0.0001254344329765627,0.00021012627940353832,5.692675026867081,11.271809515676019,black
Teegarden's Star b,20.663270599868792,1.2532322856164812e-06,0.0006360387913844916,0.0003187609274014831,40.11319763095332,-1.5885085077840537,,,,0.00015613851179092022,0.0002559808273461275,8.89923350840634,16.995129399536804,black
LHS 3154 b,10.224099975565776,6.579812616049277e-06,0.0009514949710808975,0.0004791793782674013,9.749935612902005,-1.6396600476097265,,,,0.0002804646941313172,0.0007047607638125536,6.644994706241584,13.56616785803242,black
TOI-1696 b,75.82719428349317,4.100464946824653e-06,1.5337353582855946e-05,9.591527981278594e-06,2.3670896961160275,-1.6319877566314285,,,,3.4092228803361724e-06,8.95972621531302e-06,8.034606408230289,7.261668973964589,black
TOI-4184 b,12.283138371662083,1.9357300422901034e-07,1.269485051497097e-05,6.460261462828864e-06,2.2153111331624977,-1.4918057753774792,,,,2.868095352495721e-06,7.273621604686546e-06,4.304223266739808,8.65535600343133,black
GJ 3512 c,0.32754575011756865,7.647472797815422e-09,0.0010396135702561014,0.0005198103864304287,16.198486377898327,0.10942260160100345,,,,0.00039542223170119814,0.0009813358664767678,0.3016868035357812,18.16711816912603,black
GJ 1061 d,15.44305779616423,1.0235781034708413e-07,0.0006532200514146829,0.00032666655330461364,41.8388346758323,-1.2832405335799606,,,,0.00015163153620439133,0.0002462468713109699,6.739514065457136,9.715065933711141,black
GJ 1061 c,22.084660624955085,1.3125629087396362e-06,0.0008127273953799864,0.0004068665565189198,41.8388346758323,-1.4717489721429946,,,,0.00018894458445637801,0.0003114694378478012,9.84313106622987,13.44337630056463,black
GJ 1061 b,27.974791727442234,1.7597311980313648e-05,0.000834986511955047,0.0004270138182211235,41.8388346758323,-1.6753737022271915,,,,0.00020062774471099333,0.0003241783768164336,12.12014857746607,20.226150911165494,black
TOI-2266 b,30.704044072351884,6.338667632266529e-06,0.00010876132752998433,5.938240746695862e-05,2.9779775974741156,-1.6369337809159912,,,,2.8814422880337456e-05,6.746074723119659e-05,8.929841536994122,11.060409619894465,black
CD Cet b,23.75736018514162,5.321855483235003e-05,0.000978068680448833,0.000518837905978479,17.853161060362996,-1.7344287268966976,,,,0.00028880621332914034,0.0006973767356079757,10.095863882555761,20.371718716076117,black
LHS 1140 b,14.4495158577855,2.5251744602545784e-10,7.714069509857594e-05,3.8570357598550806e-05,10.253824225162207,-1.0272050390577154,,,,6.3566986163029825e-06,8.51618860762035e-06,0.8766626154848538,0.9621715119524268,black
TOI-2136 b,12.420406021173033,3.621894729563078e-07,4.4806033475217326e-05,2.260957752988258e-05,4.605832048601699,-1.2327416466333916,,,,7.034468773385388e-06,1.1349190312379668e-05,6.19705292780699,7.158230955751026,black
GJ 1132 c,16.84173503427519,1.677988010301916e-07,0.00012573784685886754,6.296145717562293e-05,12.183052027329214,-1.3186207176780456,,,,2.9558023990631426e-05,4.9349514100114453e-05,7.341010838507298,11.236708688744798,black
TOI-237 b,21.64710935909313,1.2985107440034059e-07,1.7264192006038357e-05,8.704667853126853e-06,4.035856567468421,-1.462111682363903,,,,2.4676693310333307e-06,3.4911334610131735e-06,7.135585480763483,9.711181846596212,black
K2-25 b,25.986288941091217,1.1441242998615425e-05,0.000332211217877785,0.00017267408033016314,3.418078258332018,-1.5315910488890756,,,,6.365148143748557e-05,0.00012786694856156352,8.08649852137529,8.272438734373821,black
