Name	Corona Temp. (K)	Wind Speed (km/s)
K2-21 b	3739600.0	573.0
Kepler-94 c	3032859.0	737.0
Kepler-309 c	1792574.0	450.0
Kepler-155 c	1757545.0	427.0
Kepler-26 e	1729116.0	417.0
Kepler-159 c	1939198.0	449.0
Kepler-235 e	1047061.0	298.0
Kepler-52 d	1500408.0	371.0
GJ 338 B b	1409371.0	331.0
Kepler-81 d	1510464.0	339.0
Kepler-235 d	1047061.0	263.0
Kepler-83 c	1694145.0	360.0
Kepler-26 c	1688049.0	367.0
Kepler-52 c	1481901.0	332.0
TOI-198 b	1092059.0	272.0
Kepler-120 c	1513147.0	309.0
Kepler-26 b	1688049.0	349.0
Kepler-114 d	1809785.0	363.0
Kepler-81 c	1506862.0	306.0
Kepler-159 b	1939198.0	370.0
Kepler-252 c	602116.0	142.0
Kepler-28 c	2131928.0	381.0
Kepler-83 b	1694145.0	320.0
Kepler-210 c	2555718.0	416.0
Kepler-235 c	1047061.0	218.0
Kepler-114 c	1809785.0	341.0
Kepler-52 b	1481901.0	294.0
Kepler-309 b	1792574.0	295.0
Kepler-252 b	602116.0	122.0
Kepler-303 c	1574042.0	293.0
Kepler-28 b	2131928.0	354.0
Kepler-155 b	1757545.0	309.0
Kepler-120 b	1513147.0	270.0
Kepler-114 b	1919684.0	308.0
Kepler-81 b	1506862.0	266.0
Kepler-83 d	1653740.0	294.0
HD 260655 c	1123718.0	229.0
Kepler-26 d	1729116.0	273.0
TOI-3757 b	952852.0	154.0
Kepler-235 b	1047061.0	174.0
Kepler-94 b	3032859.0	381.0
Kepler-210 b	2555718.0	330.0
HD 260655 b	1123718.0	190.0
Kepler-303 b	1574042.0	212.0
HD 36384 b	17443468.0	1961.0
TOI-1899 b	950323.0	253.0
EPIC 211822797 b	4351199.0	696.0
TOI-1728 b	954737.0	155.0
LP 791-18 c	4885418.0	762.0
LP 791-18 d	4885418.0	717.0
LP 791-18 b	4885418.0	5.0
K2-3 d	934198.0	277.0
K2-3 c	934198.0	253.0
K2-3 b	934198.0	214.0
TOI-519 b	1012862.0	144.0
TOI-540 b	2813424.0	8.0
GJ 163 d	972915.0	381.0
GJ 163 c	972915.0	273.0
GJ 163 b	972915.0	227.0
Kepler-45 b	5947113.0	674.0
Kepler-42 d	983060.0	211.0
Kepler-42 b	983060.0	21.0
Kepler-42 c	983060.0	51.0
TOI-1075 b	1055371.0	67.0
HD 113538 c	1317695.0	482.0
HD 113538 b	1317695.0	449.0
TOI-2525 c	1493564.0	365.0
TOI-2202 c	971764.0	241.0
TOI-2525 b	1493564.0	328.0
TOI-2202 b	1083549.0	226.0
TOI-260 b	552549.0	140.0
BD-11 4672 c	929971.0	287.0
BD-06 1339 c	1343732.0	387.0
WASP-80 b	941397.0	151.0
BD-210397 c	1430290.0	540.0
HIP 70849 b	1724215.0	586.0
BD-210397 b	1057421.0	419.0
BD-11 4672 b	929971.0	385.0
GJ 414 A c	658824.0	292.0
Kepler-61 b	3701589.0	694.0
Kepler-287 c	1913152.0	421.0
GJ 414 A b	658824.0	212.0
Kepler-287 b	1913152.0	378.0
K2-141 c	1055291.0	209.0
GJ 9827 d	1125577.0	213.0
HS Psc b	14736993.0	1301.0
GJ 9827 c	1125577.0	188.0
GJ 9827 b	1125577.0	122.0
WASP-43 b	942411.0	102.0
K2-141 b	1055291.0	20.0
PDS 70 b	51031985.0	1000.0
CI Tau c	56075596.0	1000.0
HAT-P-54 b	1436319.0	234.0
KOI-7913 b	30327993.0	2325.0
TOI-1260 d	1003400.0	238.0
TOI-1260 c	1003400.0	200.0
TOI-1260 b	1003400.0	153.0
TOI-500 b	1245580.0	72.0
WASP-107 b	1596273.0	278.0
K2-136 d	5130465.0	783.0
K2-136 c	5130465.0	753.0
K2-136 b	5130465.0	690.0
eps Ind A b	1597601.0	642.0
HIP 54597 b	1402325.0	509.0
BD-17 63 b	1380703.0	454.0
TOI-2134 c	1503703.0	402.0
TOI-2443 b	918860.0	221.0
TOI-2134 b	1503703.0	287.0
WASP-10 b	995258.0	146.0
Qatar-9 b	941575.0	100.0
NGTS-10 b	751770.0	131.0
HD 113996 b	1935012.0	526.0
alf Tau b	1134639.0	385.0
HD 233604 b	2369528.0	540.0
Kepler-80 c	2334188.0	406.0
Kepler-80 b	2334188.0	386.0
Kepler-80 e	2334188.0	358.0
WASP-69 b	1056275.0	148.0
Kepler-80 d	2334188.0	328.0
HD 101581 c	977482.0	188.0
HD 101581 b	977482.0	171.0
HD 108202 b	1043054.0	427.0
TOI-712 d	4316289.0	782.0
TOI-712 c	4316289.0	749.0
TOI-712 b	4316289.0	628.0
HD 285507 b	5356640.0	676.0
GJ 143 b	1498063.0	358.0
HD 21749 c	1498063.0	278.0
WASP-132 d	987542.0	397.0
HIP 57274 d	914737.0	339.0
HIP 57274 c	914737.0	246.0
HD 73583 c	6317283.0	871.0
HD 190007 b	3821017.0	588.0
HD 125595 b	1332305.0	333.0
HIP 57274 b	758213.0	213.0
WASP-132 b	987542.0	187.0
HD 73583 b	6317283.0	775.0
HD 63454 b	3467737.0	525.0
OGLE-TR-113 b	660054.0	101.0
TOI-824 b	938999.0	94.0
WASP-132 c	987542.0	105.0
HIP 65 A b	1441519.0	131.0
bet Cnc b	2897829.0	669.0
bet UMi b	2032847.0	537.0
HAT-P-11 c	1938764.0	617.0
Kepler-167 e	993475.0	383.0
Kepler-167 d	993475.0	242.0
Kepler-167 c	993475.0	191.0
HAT-P-11 b	1938764.0	304.0
Kepler-167 b	993475.0	163.0
HAT-P-12 b	2000781.0	290.0
HD 114386 b	3667784.0	854.0
HD 192310 c	938274.0	347.0
HD 218566 b	876755.0	310.0
HD 192310 b	938274.0	280.0
HD 20868 b	1182984.0	427.0
Wolf 503 b	722463.0	137.0
HD 222237 b	856774.0	418.0
HD 16905 b	1121557.0	476.0
HD 185283 b	1119323.0	451.0
HD 219134 h	688486.0	323.0
HD 215497 c	1180271.0	400.0
HD 128356 b	759795.0	299.0
BD-08 2823 c	1338175.0	408.0
HD 48948 d	701893.0	256.0
HD 93083 b	3761080.0	751.0
HD 219134 g	688486.0	233.0
HD 48948 c	701893.0	210.0
TOI-815 c	11528296.0	1332.0
K2-110 b	906954.0	208.0
TOI-815 b	11528296.0	1213.0
HD 162020 b	982050.0	244.0
HD 219134 c	750463.0	140.0
HD 48948 b	701893.0	142.0
BD-08 2823 b	1239047.0	256.0
HD 215497 b	971417.0	174.0
HD 103720 b	1523312.0	245.0
WASP-11 b	1093289.0	116.0
HD 219134 b	750463.0	101.0
NGTS-21 b	776511.0	84.0
HD 181433 d	1033699.0	413.0
HD 181433 c	1033699.0	389.0
HD 181433 b	987701.0	217.0
17 Sco b	1363711.0	428.0
HD 240210 b	1258014.0	416.0
NGC 2682 Sand 364 b	2689940.0	384.0
K2-233 d	7791906.0	1012.0
K2-101 b	4551077.0	679.0
Kepler-91 b	1518198.0	233.0
K2-233 c	7791906.0	896.0
WASP-156 b	1194142.0	180.0
WASP-89 b	3281940.0	420.0
HAT-P-20 b	1026726.0	146.0
K2-233 b	7791906.0	785.0
HD 3765 b	2401069.0	656.0
HD 104067 c	1402784.0	289.0
TOI-238 c	1398733.0	263.0
TOI-238 b	1115705.0	107.0
HD 40307 f	1349040.0	346.0
HD 40307 d	1349040.0	302.0
HD 176986 c	1398372.0	300.0
HD 40307 c	1349040.0	263.0
HD 176986 b	1398372.0	248.0
HD 207496 b	6061643.0	747.0
