Name	Corona Temp. (K)	Wind Speed (km/s)
HD 2685 b	3539933.0	426.0
HAT-P-6 b	2530983.0	284.0
Kepler-1713 b	1712836.0	322.0
WASP-14 b	5302166.0	497.0
HAT-P-34 b	2948014.0	391.0
WASP-7 b	2291907.0	317.0
WASP-3 b	2634300.0	240.0
TOI-1836 b	1174129.0	247.0
WASP-186 b	1906577.0	273.0
TOI-1859 b	3299652.0	609.0
HD 25463 b	2349665.0	349.0
HD 25463 c	2349665.0	288.0
HAT-P-45 b	2587385.0	315.0
KELT-3 b	1972292.0	233.0
K2-290 b	1601832.0	275.0
K2-290 c	1601832.0	373.0
TOI-2154 b	2002221.0	266.0
TOI-1333 b	2405090.0	316.0
Kepler-410 A b	2063723.0	364.0
HD 202772 A b	3075257.0	344.0
TOI-628 b	3538083.0	417.0
XO-7 b	3789555.0	418.0
WASP-136 b	1775518.0	250.0
TOI-1898 b	1919097.0	409.0
Kepler-126 b	1762177.0	311.0
Kepler-126 c	1762177.0	354.0
Kepler-126 d	1762177.0	432.0
TOI-1836 c	1879580.0	191.0
Kepler-506 b	2814623.0	406.0
TOI-5786 b	2212759.0	375.0
WASP-62 b	2110376.0	302.0
Kepler-50 b	1671412.0	264.0
Kepler-50 c	1671412.0	276.0
TOI-4406 b	1987568.0	399.0
HAT-P-60 b	2134359.0	287.0
KELT-4 A b	1495862.0	186.0
TOI-2145 b	3202633.0	452.0
Kepler-381 d	1608381.0	267.0
TOI-480 b	2117373.0	319.0
K2-232 b	3219169.0	488.0
Kepler-381 b	2140045.0	318.0
Kepler-381 c	2140045.0	375.0
TOI-1052 b	2331690.0	369.0
TOI-1052 c	2331690.0	456.0
WASP-32 b	2165426.0	315.0
HD 332231 b	1978618.0	371.0
HAT-P-46 b	2232217.0	302.0
TOI-6038 A b	1732120.0	258.0
Kepler-1876 b	1501044.0	243.0
HD 209458 b	1880025.0	251.0
Kepler-1349 b	1986441.0	225.0
TOI-1842 b	2293718.0	354.0
WASP-26 b	1205789.0	146.0
TOI-1437 b	1116483.0	240.0
HAT-P-32 b	2065050.0	236.0
WASP-35 b	1341656.0	179.0
Kepler-1088 b	1895595.0	375.0
Kepler-908 b	1906250.0	185.0
TOI-1751 b	877546.0	237.0
TOI-2128 b	1391114.0	284.0
TIC 279401253 b	3598919.0	665.0
TIC 279401253 c	3598919.0	708.0
WASP-13 b	1238588.0	218.0
HD 6061 b	2194756.0	326.0
Kepler-1709 b	2222902.0	486.0
TOI-5027 b	7539573.0	888.0
K2-167 b	1362892.0	231.0
TOI-2498 b	1695965.0	233.0
K2-222 b	1039151.0	226.0
WASP-55 b	3809365.0	483.0
K2-79 b	1130828.0	218.0
TOI-1716.01	1279849.0	225.0
HD 118203 b	1375195.0	206.0
HD 118203 c	1375195.0	499.0
HD 21520 b	1301219.0	288.0
HATS-1 b	1171656.0	163.0
EPIC 229004835 b	1336735.0	277.0
Kepler-1864 b	2876820.0	381.0
TOI-3321 b	973044.0	133.0
Kepler-68 b	1091280.0	173.0
Kepler-68 c	1091280.0	205.0
Kepler-68 d	1091280.0	379.0
Kepler-68 e	1091280.0	432.0
TOI-1439 b	1469098.0	314.0
TOI-813 b	1715462.0	408.0
TOI-6651 b	1722486.0	245.0
Kepler-1972 b	1050354.0	184.0
Kepler-1972 c	1050354.0	205.0
TOI-1742 b	1596543.0	327.0
Kepler-1869 b	3341122.0	493.0
Kepler-1869 c	3341122.0	361.0
TOI-5108 b	1228118.0	206.0
TOI-4914 b	1285013.0	245.0
TOI-2529 b	1064230.0	288.0
TOI-1451 b	1543117.0	309.0
TOI-1776 b	1286455.0	171.0
TOI-1723 b	1375921.0	271.0
TOI-1136 b	5133013.0	603.0
TOI-1136 c	5133013.0	641.0
TOI-1136 d	5133013.0	701.0
TOI-1136 e	5133013.0	735.0
TOI-1136 f	5133013.0	761.0
TOI-1136 g	5133013.0	792.0
WASP-173 A b	1105921.0	102.0
TOI-1691 b	1110725.0	238.0
TIC 4672985 b	997975.0	281.0
WASP-25 b	37506398.0	2381.0
WASP-149 b	5735013.0	530.0
TOI-1820 b	797322.0	125.0
Kepler-1912 b	2278907.0	350.0
K2-277 b	1351342.0	223.0
Kepler-1689 b	2132728.0	346.0
TOI-2295 b	845750.0	210.0
TOI-2295 c	845750.0	332.0
TOI-2447 b	2408266.0	515.0
Kepler-1312 c	4318229.0	407.0
Kepler-1312 b	2469750.0	364.0
HD 135694 b	855144.0	190.0
TOI-954 b	1206806.0	160.0
TOI-1199 b	1560510.0	207.0
Kepler-10 b	790490.0	140.0
Kepler-10 c	790490.0	225.0
Kepler-10 d	790490.0	269.0
TOI-3364 b	1309767.0	205.0
WASP-34 b	978785.0	150.0
WASP-16 b	1070723.0	101.0
TOI-1799 b	1292714.0	229.0
K2-287 b	1442667.0	285.0
Kepler-96 b	2221608.0	405.0
TOI-1273 b	1855160.0	271.0
Kepler-517 b	1123670.0	301.0
HD 63433 b	3017832.0	444.0
HD 63433 c	3017832.0	519.0
HD 63433 d	7342966.0	782.0
Kepler-454 b	1293169.0	244.0
Kepler-454 c	1293169.0	416.0
Kepler-454 d	1293169.0	485.0
Kepler-131 b	1644628.0	324.0
Kepler-131 c	1644628.0	349.0
EPIC 201595106 b	1164181.0	121.0
K2-360 c	1164181.0	223.0
HAT-P-59 b	1034061.0	152.0
TOI-2158 b	998164.0	170.0
Kepler-93 b	1080415.0	172.0
TOI-2141 b	1110504.0	247.0
HATS-33 b	1897659.0	234.0
Kepler-396 b	5417591.0	846.0
Kepler-396 c	5417591.0	898.0
Kepler-858 b	1710903.0	414.0
Kepler-449 b	856849.0	176.0
Kepler-449 c	856849.0	220.0
HIP 9618 b	1214564.0	271.0
HIP 9618 c	1214564.0	314.0
TOI-4463 A b	1534514.0	198.0
TOI-564 b	1031688.0	97.0
TOI-1736 b	894643.0	156.0
TOI-1736 c	894643.0	332.0
TOI-1794 b	793077.0	152.0
TOI-2107 b	1529623.0	192.0
TOI-2019 b	1170274.0	237.0
CoRoT-2 b	1998208.0	225.0
TOI-1753 b	1174660.0	192.0
WASP-127 b	761483.0	108.0
HIP 8152 b	1158571.0	228.0
HIP 8152 c	1158571.0	259.0
Kepler-1877 b	1351917.0	161.0
TOI-329 b	934295.0	150.0
TOI-2000 b	1299089.0	169.0
TOI-2000 c	1299089.0	234.0
TOI-3331 A b	2400152.0	277.0
TOI-669 b	962203.0	143.0
TOI-1478 b	881687.0	170.0
HD 20329 b	769596.0	133.0
HATS-57 b	2133958.0	258.0
K2-208 b	1142576.0	173.0
TOI-2589 b	775731.0	233.0
TOI-905 b	1710368.0	244.0
Kepler-1656 b	1144264.0	274.0
Kepler-1656 c	1144264.0	427.0
TOI-451 b	16398858.0	1234.0
TOI-451 c	16398858.0	1458.0
TOI-451 d	16398858.0	1531.0
WASP-63 b	1006693.0	138.0
WASP-41 b	3393521.0	440.0
WASP-41 c	3476036.0	758.0
Kepler-19 c	2531712.0	483.0
Kepler-19 b	2531712.0	412.0
K2-261 b	934030.0	189.0
Kepler-538 b	1245449.0	341.0
TOI-2328 b	1525960.0	311.0
K2-291 b	1597279.0	196.0
WASP-50 b	1043801.0	112.0
Kepler-523 b	2122629.0	330.0
HD 63935 b	1088163.0	207.0
HD 63935 c	1088163.0	250.0
TOI-1420 b	801309.0	141.0
TOI-1269 b	1796082.0	269.0
TOI-1669 b	993427.0	354.0
TOI-1669 c	993427.0	121.0
TOI-1249 b	1544409.0	296.0
Kepler-1994 b	1305688.0	204.0
Kepler-20 b	1210886.0	177.0
Kepler-20 c	1210886.0	238.0
Kepler-20 d	1210886.0	330.0
Kepler-20 e	1210886.0	206.0
Kepler-20 f	1210886.0	268.0
Kepler-20 g	992824.0	254.0
Kepler-743 b	2571207.0	339.0
WASP-39 b	884313.0	131.0
K2-265 b	968037.0	114.0
TOI-1347 b	3113232.0	280.0
TOI-1347 c	3113232.0	433.0
TOI-1444 b	1580351.0	157.0
TOI-1279 b	1452551.0	273.0
NGTS-30 b	3699360.0	704.0
Kepler-1313 b	1986636.0	284.0
WASP-6 b	687017.0	125.0
Kepler-1130 c	2573243.0	341.0
Kepler-1130 d	2573243.0	361.0
WASP-148 b	1640345.0	290.0
WASP-148 c	1640345.0	366.0
K2-226 b	838047.0	113.0
Kepler-409 b	1178302.0	320.0
Kepler-953 b	908049.0	276.0
Kepler-953 c	908049.0	178.0
Kepler-1130 b	2855432.0	417.0
XO-2 S b	1046412.0	231.0
XO-2 S c	1046900.0	314.0
TOI-1194 b	1340723.0	162.0
