Name,RA (J2000),DEC (J2000),Max. Frequency [MHz],Max. Flux Density [Jy],Max. Frequency Lower Uncertainty [MHz],Max. Frequency Upper Uncertainty [MHz],Max. Flux Density Lower Uncertainty [Jy],Max. Flux Density Upper Uncertainty [Jy]
WASP-18 b,01:37:25,-45:40:40,103.49411576572975,0.02723576526906471,9.233333925655671,8.647953906554463,0.010028944921533445,0.024952723342544877
55 Cnc e,08:52:35,+28:19:47,110.64277349955037,0.01042890087404166,8.208711796593875,6.742136398111555,0.002315762774459969,0.0033088239472895825
K2-141 b,23:23:40,-01:11:21,195.94164813802723,0.001150184787524407,23.518403792922697,17.57180750074005,0.0004625772440618169,0.0014230536707727772
HD 213885 b,22:35:56,-59:51:53,117.60464595107386,0.001008171556640096,7.044830272564795,6.59577454111826,0.00016895646818656965,0.00022904537063154974
HD 80653 b,09:21:21,+14:22:04,116.99507075749716,0.0005849196633466124,16.35129926519768,12.956837202127844,0.00017078880324304305,0.00036117539078556866
TOI-1798.02,14:04:23,+46:31:09,190.2497961959986,0.0003837227117495513,35.915575083345374,27.134871697394345,0.0001675106181358778,0.000452978846873065
TOI-1444 b,20:21:54,+70:56:37,109.42159423129932,0.00033336086757530407,32.66659782792894,35.38543810689278,0.00011754973187760848,0.0003069418378832095
TOI-1075 b,20:39:53,-65:26:59,152.76602854970352,0.00032551895699154364,17.67799798499709,15.504689766299009,0.00011784805531812973,0.00028539378175841614
HD 20329 b,03:16:43,+15:39:23,111.17668032896465,0.00032100552667154185,16.537331834524963,12.198259031158742,7.054626417650771e-05,9.354583461427277e-05
TOI-849 b,01:54:52,-29:25:18,102.24151520126377,0.00020476900408702173,15.603044554844914,9.30240112960648,8.209542263263168e-05,0.00015225969937786998
K2-131 b,12:11:00,-09:45:55,186.90567350961004,0.00020256724497596986,23.816966878756205,19.81200774321755,7.773839069578686e-05,0.000243327678576538
TOI-332 b,23:12:14,-44:52:35,137.43685468461405,0.00012568310792656322,8.777424161707017,8.13218274462244,3.853020758962946e-05,8.354914988314239e-05
TOI-1347 b,18:41:18,+70:17:24,133.75079294029746,0.00012503874043593062,13.566058337286805,11.95508762454972,2.8948807669681645e-05,4.556903515606309e-05
K2-229 b,12:27:30,-06:43:19,150.29415733293268,6.820759448569348e-05,21.33415138226644,18.162930760617996,2.6446752651896676e-05,7.801811574528343e-05
WASP-84 c,08:44:26,+01:51:36,107.02822119257286,5.8775337608588396e-05,24.102368867288433,18.902530530910724,2.257415674305284e-05,5.1436521152756455e-05
K2-233 b,15:21:55,-20:13:54,127.5678079852109,5.433132398189381e-05,13.456257995771765,12.283663748981738,2.7464588418572873e-05,0.00011106100243779098
WASP-47 e,22:04:49,-12:01:09,110.3025193446819,4.917143893345995e-05,5.491205431938866,5.188176301594652,1.2025551242311875e-05,1.8946559559695445e-05
EPIC 220674823 b,00:52:19,+10:47:41,155.39311417373074,4.913136541597119e-05,8.691891919531628,8.459795726205243,1.6445692637912827e-05,3.731679883065055e-05
EPIC 201595106 b,12:14:53,+01:58:05,138.9004431357883,2.399827154371198e-05,13.1180967612231,11.998096783650055,7.52843305942498e-06,1.541325365981341e-05
Kepler-42 c,19:28:53,+44:37:03,591.3443147503332,1.0700865361336912e-05,193.11783065392257,155.13090008027643,7.078777279328328e-06,2.1998508260633547e-05
Kepler-267 b,19:59:19,+47:09:27,110.07440477201703,3.775732621651421e-07,12.89414998549303,10.751781713858122,2.0308137049942382e-07,6.998037208522298e-07
K2-19 d,11:39:50,+00:36:13,177.22105517209485,3.3999190802696773e-07,18.71878286585124,16.550644266683946,7.823501316556138e-08,1.0252737859765234e-07
Kepler-102 c,18:45:56,+47:12:28,105.97761220120027,2.0782824365168177e-07,10.982691677091992,9.888494586600004,8.619763590009116e-08,3.9241372644047055e-07
Kepler-102 b,18:45:56,+47:12:28,133.74421483673598,1.619694234795561e-07,14.05039646274237,12.85218190787515,6.470944857602577e-08,2.9292106984014833e-07
Kepler-327 c,19:30:34,+44:05:15,171.87698689789485,5.968578149893867e-08,19.22667407734903,16.942716738601717,2.918272229434626e-08,1.0149717708971411e-07
Kepler-37 b,18:56:14,+44:31:06,231.19821546323914,7.11986608697694e-09,225.85323187187214,57641.43858015244,5.959181122246005e-09,2.149615146305383e-08
Kepler-37 e,18:56:14,+44:31:06,256.8252187026819,1.8980426031995505e-09,254.44504740360506,57327.3091485461,1.7090246446263293e-09,1.1690931399070454e-08
