Name,RA (J2000),DEC (J2000),Max. Frequency [MHz],Max. Flux Density [Jy],Max. Frequency Lower Uncertainty [MHz],Max. Frequency Upper Uncertainty [MHz],Max. Flux Density Lower Uncertainty [Jy],Max. Flux Density Upper Uncertainty [Jy]
HD 19994 b,03:12:47,-01:11:47,0.6693789986038996,0.0004998546185325935,0.6227944818282348,34.912163425511835,0.00038162557156300056,0.0009004699311800763
HD 60532 c,07:34:03,-22:17:45,0.6473332533703908,0.00048578486733691454,0.6071481000622071,44.734487946198186,0.00037460624623683885,0.0009220447972271705
GJ 832 b,21:33:34,-49:00:45,0.16468542867665437,0.0003903659243105008,0.1544897314636589,11.257652483192098,0.0003091614798095362,0.0007817500607676394
GJ 849 c,22:09:42,-04:38:27,0.17979000634955902,0.00038930319635724743,0.16827508042808276,10.60420079522159,0.000297545595128672,0.0007280011916579903
Kepler-91 b,19:02:41,+44:07:00,0.6140820089482965,0.00035615426015344687,0.22906471475335832,0.396317358602723,0.00010003951612304421,0.00014644937334050672
HD 33844 c,05:12:36,-14:57:04,0.5231118042550613,0.0003461818008112599,0.48911059438426274,39.019722832853056,0.0002741157689567916,0.0008503679372437432
HD 200964 c,21:06:40,+03:48:12,0.39386378823078,0.000335285174212115,0.3677004601258542,24.05063280581096,0.0002670325503307181,0.0008228593450203313
K2-107 b,18:59:56,-22:17:36,0.663671801630717,0.0003189186462507115,0.15808198033849308,0.2173678042341768,7.97097147981909e-05,9.471216676745688e-05
HD 4313 b,00:45:40,+07:50:42,0.8414063457377524,0.0003091380728057239,0.7795050133091149,47.43428412274113,0.0002461396828030074,0.00076050085525432
HD 142 A d,00:06:20,-49:04:31,0.8041551990922273,0.00029096534826016074,0.7114819232893317,22.89463114796683,0.00021121713576277953,0.0004177653868716046
HD 175541 b,18:55:41,+04:15:54,0.549167887591617,0.00028828779576945047,0.4905555561206127,20.70957677617507,0.0002286003325034771,0.001074712718919161
HD 108863 b,12:30:20,+21:56:53,0.7860382756106499,0.0002881136420288488,0.7271355110382077,53.2333131814361,0.0002273931820866242,0.0007068091842137842
HD 158038 b,17:25:45,+27:18:11,0.5877094951671517,0.00026090045583464184,0.5449928241069907,37.28805707650179,0.00020204179022105406,0.0004895572112509948
HD 181342 b,19:21:04,-23:37:11,0.7768675728760501,0.0002557801026633439,0.7288541708008713,51.753478020058076,0.0002032465090533605,0.0006523097047104223
eps Ind A b,22:03:29,-56:47:49,0.13099971662065354,0.00025305231265419325,0.12743228731768963,16.446600807043293,0.00020903717257858198,0.0007008400078100383
HD 70642 b,08:21:28,-39:42:16,0.6510849361248499,0.0002518012682554839,0.6173625245390337,46.86327444470104,0.00020049371423266768,0.0006883584453203594
HD 169830 b,18:27:49,-29:49:00,0.9101900541372372,0.000250016779120717,0.8323481228852802,65.28433496085756,0.00018901719026626545,0.0004365281531399297
HD 82943 b,09:34:51,-12:07:49,0.6797452314320273,0.00022853667920234107,0.626749622538259,42.090439044342055,0.00017383203227875626,0.0003833947234558509
HD 29399 b,04:33:34,-62:49:26,0.3617750527713864,0.00022209049795273025,0.33811290737972216,26.822494923649007,0.00017078745290345095,0.00041931080214466037
HD 216770 b,22:55:54,-26:39:34,0.7921783929575699,0.00021945846467737472,0.6956667940163468,23.099040497003646,0.00015750253968714785,0.00028200204831842706
GJ 317 b,08:40:59,-23:27:10,0.6687862822858828,0.00020059779525797168,0.6261001588933789,44.612809831754454,0.0001543780136948147,0.00034965432017109664
WASP-166 b,09:39:30,-20:58:57,0.654512447563181,0.00019825048916704557,0.1576292149373148,0.2308588353084775,4.4426195546737546e-05,4.863344600402396e-05
HD 95089 b,10:58:48,+01:43:44,0.6235955053716963,0.0001941065788039657,0.5779029278627285,31.809328114129286,0.00015612025588817498,0.0005472617666543284
HD 142 b,00:06:20,-49:04:31,0.9161472137291271,0.0001922325877542908,0.8567549522112293,54.38540052487017,0.00014769841672787322,0.0003208690557018582
HD 116029 b,13:20:40,+24:38:55,0.4547580545451399,0.00017145980303270332,0.41870908265016404,27.82739349594319,0.00013090584351811143,0.0003084494146887367
HAT-P-28 b,00:52:00,+34:43:42,0.9640784318171618,0.00016880687201023612,0.33360736774305055,0.6011946873753458,6.159272563124623e-05,8.715993197358989e-05
WASP-58 b,18:18:48,+45:10:20,0.8300221490991316,0.0001622348870065231,0.43156553040644235,1.0193095095093385,8.280741653034753e-05,0.0001345435308213326
NGTS-24 b,11:14:15,-37:54:36,0.6848859110558068,0.00015260700368596153,0.2107002857771873,0.3789402557558199,5.0671175560940734e-05,7.159658041849449e-05
HD 142245 b,15:52:56,+15:25:50,0.45084110685636336,0.0001509753582647729,0.4246165067909565,31.86707838600618,0.00011828387357893416,0.0002812018323617596
HD 206610 b,21:43:25,-07:24:30,0.6561314000076142,0.00014814431315693567,0.6187430404258142,39.15779038490742,0.00011909343259967672,0.00044705728050433287
HD 92788 b,10:42:49,-02:11:05,0.9871232115554334,0.00014630365284693658,0.919957702355451,49.16585025492844,0.00011270338130421407,0.00032205480686427684
WASP-21 b,23:09:58,+18:23:46,0.3281111363182656,0.00013812864867207396,0.07740390193259422,0.11533200245883707,3.6485025533020116e-05,4.640507163089405e-05
HAT-P-26 b,14:12:38,+04:03:34,0.46430067388611446,0.00013303840404950158,0.15263765273677787,0.2702399808905102,5.283879843057591e-05,7.577058040270746e-05
HD 76920 b,08:55:17,-67:15:55,0.6887426996498603,0.0001318653483326302,0.643301075124347,49.909207036474584,0.00010293877187753331,0.0002980541707426567
HD 111998 b,12:53:11,-03:33:11,0.7377875521661248,0.0001308121350101835,0.6981069201216005,50.791016308414044,0.00010430398854969347,0.00040168826787871767
HD 113538 c,13:04:56,-52:26:47,0.27078451714261953,0.00012333754110631113,0.2515930253513467,15.088428429900434,9.750332440226432e-05,0.00027631699372833457
WASP-124 b,22:10:51,-30:44:59,0.7917289712510687,0.00011873341025758408,0.17797845310621352,0.22990866938399357,2.7127563429993416e-05,3.050843414815753e-05
HD 156846 b,17:20:34,-19:20:04,0.870589123011894,0.00011557166513147859,0.8125167962750466,64.3352163643823,8.897805598814663e-05,0.00020057274267846556
HD 23079 b,03:39:43,-52:54:58,0.720382799383126,0.00011273047606918102,0.6805778720519506,45.644262457738364,9.003343097898732e-05,0.00029690611355894403
47 UMa b,10:59:28,+40:25:50,0.40188872208975934,0.00011104782943245777,0.37936208910380464,36.472562638045574,8.753931374597724e-05,0.00021608664549449896
TOI-3757 b,06:04:01,+55:01:12,0.32736482782995063,0.00011007838437907323,0.07916436687221656,0.09354714817109966,2.2799017070770493e-05,2.8898700228309425e-05
HATS-6 b,05:52:35,-19:01:54,0.7370319741250044,0.00010882538894458352,0.2251867017947875,0.3374986646055258,3.086686996552673e-05,4.275080466379478e-05
HD 177830 b,19:05:21,+25:55:14,0.6754061341186656,0.00010863734498347619,0.6285126105955581,42.572954632341784,8.58498776163165e-05,0.00035924576358434854
HD 164509 b,18:01:31,+00:06:16,0.45340820696027995,0.00010777181318696259,0.39189008825535754,12.601817459435797,7.801759510879506e-05,0.00018743905762770666
HD 18742 b,03:00:11,-20:48:10,0.736530849560467,0.00010391799756875253,0.6960849087438143,47.75913884531521,8.284467690667117e-05,0.00026615177714331705
WASP-96 b,00:04:11,-47:21:38,0.49712663244345495,9.963146891495103e-05,0.133986916043143,0.19622790904441617,4.3314013046348465e-05,7.654963753731687e-05
HD 141937 b,15:52:18,-18:26:09,0.7296502062805946,9.88942932762888e-05,0.6844450924165325,56.19752716501035,7.646776929097795e-05,0.00018239031242891541
HD 98219 b,11:17:47,-23:58:32,0.6026896334509757,9.392498647386741e-05,0.5588282244918358,43.102294297165535,7.499638556352444e-05,0.0002568758856100259
HD 75784 b,08:52:24,+13:13:59,0.49815058373711113,9.324364744501794e-05,0.45196757985110225,26.539601318230595,7.283547907292277e-05,0.00020990639987285387
HATS-29 b,19:00:23,-54:53:36,0.7031074607040507,9.217248366327284e-05,0.1988286864545622,0.2974901964942397,2.5963626992604844e-05,3.424398847964832e-05
WASP-169 b,08:29:33,-12:56:41,0.4671128629207825,8.905950880537126e-05,0.11283605406245051,0.26341694870387494,2.5893815372556546e-05,3.18872206426515e-05
