Name,RA (J2000),DEC (J2000),Max. Frequency [MHz],Max. Flux Density [Jy],Max. Frequency Lower Uncertainty [MHz],Max. Frequency Upper Uncertainty [MHz],Max. Flux Density Lower Uncertainty [Jy],Max. Flux Density Upper Uncertainty [Jy]
HD 36384 b,05:39:44,+75:02:38,2.1466954189722496,2.3989295342881016,1.9632148733266765,99.59160512631783,1.8765372289503297,20.352392869943813
AU Mic b,20:45:10,-31:20:33,8.242411666369419,1.7417662186739433,2.0518615002484575,2.7300213349107008,0.983437763314172,2.449968111180694
ups And b,01:36:48,+41:24:14,1.3356581163607733,0.11509216640127037,0.7687094905107135,3.216988281145955,0.0733975000171748,0.1546594557036888
HD 212301 b,22:27:31,-77:43:06,2.7315716696382784,0.05832354434372088,1.2181232373903559,4.32055603612946,0.02736716990444776,0.02955605945695953
HD 179949 b,19:15:33,-24:10:47,4.017891188692088,0.04194345626257964,2.4178009264025144,9.631745145037016,0.024195623236426562,0.04289702279820008
HD 189733 b,20:00:44,+22:42:35,9.353451883211862,0.029228859289801637,1.4717246693127057,1.6228304544643493,0.011915008539603821,0.030633725902725263
HD 147513 b,16:24:01,-39:11:35,1.0732339256448054,0.02079279493356976,0.9675280427007737,41.071353450223356,0.015423310954346594,0.037307752558913214
GJ 3021 b,00:16:15,-79:51:05,2.679286241832824,0.017980402244346935,2.413380533603745,106.69965931512822,0.013476709272342844,0.03160901023163597
HD 88133 b,10:10:08,+18:11:09,3.585128811356139,0.016686309464126754,2.559130609224635,10.938731761875381,0.01055957930869652,0.026516762596009366
HD 25723 b,04:04:23,-12:47:32,1.0028487742304948,0.016416640601824864,0.9308955404665604,62.502867615921424,0.012906908481702067,0.04399812305182093
AF Lep b,05:27:05,-11:54:04,1.4980354123357267,0.01497668199556294,1.3947375868533542,78.4473400704096,0.01117744704684793,0.029314272359544136
KELT-7 b,05:13:11,+33:19:05,1.3494300610394792,0.014343320629630084,0.3769253864103267,0.5621665310818864,0.0025979031056018037,0.003007754212913459
OGLE-TR-56 b,17:56:36,-29:32:21,5.687459619517309,0.013487315017842191,2.2546243076363734,3.809703741224066,0.0045980471163898345,0.007747982350748301
HD 113337 b,13:01:47,+63:36:37,2.427558124390891,0.01311004775896394,2.222847366966543,114.41061482068929,0.010236604216948234,0.02990558701204056
HD 59686 A b,07:31:48,+17:05:09,1.097194068135249,0.011117875785111413,1.021473005814587,68.67023181420392,0.008585092384061039,0.022504919246045134
HD 285507 b,04:07:01,+15:20:06,3.566842665556578,0.00948291835507482,2.1305658920646584,7.459185886519265,0.005690849514461307,0.010519321891924113
HD 46375 b,06:33:13,+05:27:45,1.1933137725298244,0.008792715702944397,0.6425463022929127,2.786526199972473,0.005106145409349278,0.007526019208523766
HD 83443 b,09:37:12,-43:16:22,1.17677250040529,0.00846732953698344,0.5647008682485833,2.2965186299817146,0.0043591038916806196,0.004503062039042946
WASP-19 b,09:53:40,-45:39:33,3.220979108738603,0.00778021848959151,0.7076462673395039,0.888510954121605,0.002846889025358526,0.005926838545110658
WASP-74 b,20:18:09,-01:04:34,1.0367857195042536,0.007563924116087811,0.280198112803548,0.549927556735988,0.002681303818263269,0.003484328509789591
HD 173416 b,18:43:36,+36:33:25,1.0028497651645067,0.005899995466747721,0.9321894234538369,55.43497628892432,0.004661229391234323,0.015073010650812284
HD 102956 b,11:51:22,+57:38:26,2.7319770354615374,0.005079452520292883,1.777458048298095,6.78369414347173,0.0034741316760047965,0.010166745551481683
GJ 876 e,22:53:18,-14:16:00,4.926447702009665,0.005004822507678655,4.587576662236671,345.35095187160346,0.003874881998870105,0.009767748050447408
WASP-95 b,22:29:50,-48:00:11,9.222597707234357,0.0048625735225651945,4.318996450008059,7.5634934688370485,0.002224512712424682,0.004283361310791689
