Name,Max. Freq. [MHz],Max. Flux Density [Jy],Max. Freq. Lower Uncertainty [MHz],Max. Freq. Upper Uncertainty [MHz],Max. Flux Density Lower Uncertainty [Jy],Max. Flux Density Upper Uncertainty [Jy]
HD 114082 b,19.06059049731184,0.0593071954604126,17.01105182732148,502.7313987796061,0.0409519409102905,0.1022970933568026
tau Boo b,47.77988232724134,0.0490728423067191,4.98826707064363,4.535110596550695,0.0210118601713344,0.0327420690504456
V1298 Tau c,24.32977428034006,0.0417313373569283,6.082745565660442,3.0459556278340045,0.0149887546746331,0.0235878639917147
HD 189733 b,11.856594934207816,0.0295831867684317,1.1197109643781928,1.1525012071574476,0.0119421913873383,0.0290998710096447
TOI-2109 b,76.02568689124604,0.02832475208241,7.938982089505828,7.293948914617673,0.0086902723999033,0.0172359720674395
GJ 674 b,13.74366315712718,0.0195645293900739,8.983522349079795,9.748767413255631,0.0121881788492781,0.0338216445536461
HS Psc b,13.841919230953696,0.0179120400430389,6.506884515020825,5.919717767860504,0.0097621501420027,0.0184342778850481
GJ 876 d,27.380644966279597,0.0118304603005701,17.847461621255448,16.386667648488245,0.0061315593082746,0.0140977123466608
OGLE-TR-56 b,10.225152845013977,0.0093934543898526,2.752771560273132,3.5792464481555086,0.0029636534900777,0.0050413399121177
LTT 9779 b,23.709491577603387,0.0060894250537353,6.051033636005759,8.452535551809163,0.0026533919766839,0.0060875283598254
HD 86081 b,17.561158327414784,0.0052654928463046,7.867448458270644,9.313092402952304,0.0028474070594358,0.0059510862269073
WASP-140 b,16.38182546991161,0.0045494738936246,7.42397509498182,10.989015490777458,0.0021580652359985,0.003753925591478
WASP-95 b,11.898925759156665,0.0038182109181658,3.579597485011485,4.720072128019417,0.0016764646523266,0.0031960907380481
WASP-77 A b,21.33162560481344,0.0035553170009681,1.8562175148076283,2.087983079465843,0.0012376937726636,0.002930956227835
TOI-1860 b,89.0383056093597,0.0027428873772373,9.610252807463354,8.430726229200758,0.0004714634478578,0.0005713166321547
KELT-16 b,33.19952293411248,0.0025895204610855,5.715956031338202,6.6621808030192256,0.0005209387973326,0.000654507083487
WASP-43 b,74.42782326839225,0.0025743831397033,10.283243048573397,9.00546317852752,0.0011685901169778,0.0034024367532001
TrES-3 b,19.3235175347309,0.002264740952812,2.561706832565637,3.076527354585327,0.0009102828168856,0.0022651827449502
WASP-135 b,21.382825670777947,0.0022206509706943,4.4561232847149554,5.937523890042133,0.0008680570385548,0.0015739119807002
GJ 436 b,15.288653336992624,0.0020748800881504,4.350297293964216,6.109574170072438,0.0008297680736882,0.0021461868573482
DMPP-4 b,11.38182682578701,0.0020247703307897,7.600647409333325,13.991847703175996,0.0010363284545223,0.002252588811349
TOI-1685 b,81.07708498899652,0.001910575674379,25.56957844183428,14.246979880698888,0.0006333408043819,0.0014877959338699
HD 149143 b,10.276361407429633,0.0017753714329895,4.484020896458614,7.374914202209206,0.0008990761155613,0.0016706751659085
WASP-72 b,17.512245206913846,0.001773411795051,8.672865044520517,8.856903147353258,0.0009752885725296,0.0018026094607408
GJ 887 b,22.4980419212781,0.0014859489438297,9.492607071711657,3.061049031342648,0.000786049360624,0.0027722522195705
HAT-P-23 b,20.924668654178262,0.0014169418746166,4.244164250067861,5.436699827089406,0.0004084602703423,0.0005816474175731
GJ 536 b,20.363180718652504,0.0014048107348365,11.083522517509849,3.396333832669285,0.0007829092219977,0.0020924391544443
WASP-64 b,10.798262772938168,0.0012482844809506,1.2795631395036988,1.441125682016244,0.0003986813978703,0.0007815493872073
WASP-104 b,16.339840661147253,0.0010289525669552,1.776984692825275,1.9647188669819824,0.0003492084602646,0.0007779844872133
WASP-97 b,17.10867413719386,0.0009852847466002,3.853692089138395,4.7675039086866455,0.0003449855981104,0.0005937442326084
HAT-P-14 b,21.148781445883152,0.0009494524598285,5.3965060973419465,2.4508955620002126,0.0003899511556489,0.0005582128175267
WASP-73 b,18.54382992689795,0.0008735016967844,9.10559596887636,6.561082866626695,0.0005240382400747,0.0011137790555673
GJ 806 b,85.10966487446876,0.0008483658880717,4.556773228612542,4.190041594359741,0.0003004210252511,0.0008267063143186
HAT-P-56 b,10.01256401371624,0.000787252481016,2.9298093346314964,3.975538003094997,0.0002837970369269,0.0003983875953399
HATS-18 b,26.839066565912063,0.0007407720302114,4.913089921779186,5.985104890461304,0.0002785278627121,0.0005897707911011
WASP-173 A b,55.89303574268763,0.0007347097841371,3.7776532959269815,3.5837900670416545,0.0002324574407257,0.0004607725692188
HD 134060 b,16.15560560693637,0.0007214765099161,10.64242229230957,12.756197318921512,0.0003762375825401,0.0008400319878331
HAT-P-36 b,22.648217056169752,0.0006683437625341,1.8184730290839008,1.9902963066521655,0.0001728605064441,0.0002959449760951
Kepler-76 b,18.130272927355456,0.0006591436655803,6.524453461814408,9.412949523610433,0.0002844663000939,0.0005399076022586
HATS-24 b,21.0537087598008,0.000614574116744,3.3817009861779823,3.9672353884429583,0.0002123978348812,0.000436537564446
TOI-778 b,17.77676437631551,0.000611186089471,2.461318797173977,2.623816131946008,0.0001458984252915,0.0001918514495185
WASP-145 A b,21.18565244809224,0.0005971824233603,15.541353312252935,23.471794695912763,0.0004533853569524,0.0016613712680316
HD 155918 b,32.4231075343142,0.0005726809099644,21.36798269645314,11.498918495893117,0.000271568253427,0.0006269593236442
GJ 1214 b,30.123052208117656,0.0005701788231294,3.5305864865605123,3.936513842648431,9.238349545996284e-05,0.0001391727910989
HAT-P-22 b,31.00670557431355,0.0005439164327754,7.723140148673576,2.5879149463225914,0.0002084235288968,0.0003464444516388
HD 285968 b,12.090285213189524,0.0005436222599234,8.323699114920087,7.196420199661404,0.0002781538388518,0.0006923573194902
WASP-114 b,15.609860210293643,0.0005360570188309,2.34193751169399,2.8346047314544744,0.0001476477327072,0.0002319387026653
HD 118203 b,21.244354693097637,0.0005270693738452,0.8674986897942709,0.7187144167614328,8.267655440137616e-05,9.7524452555352e-05
YZ Cet c,50.746410531055375,0.0005199697915873,8.541731544524183,5.649235529901347,0.0001942106145769,0.0002864302958379
NGTS-10 b,46.296639358627054,0.0005189432560311,10.822227810789457,9.800447081844084,0.000183595219953,0.0002958683148768
61 Vir b,30.2152927176084,0.0005088243238409,15.888581727640762,4.766704539305078,0.0002172780967035,0.0004899600712082
Qatar-4 b,65.86091322903191,0.0004982139856799,8.659791745432713,9.938160722985955,0.0001529708409892,0.0002242809433581
GJ 581 c,16.462191320950232,0.000494132843302,9.039994132491548,2.7884790414127174,0.000197055700593,0.0004718265774954
HD 219134 b,55.93787847951488,0.0004869740504005,3.277921863930665,3.0467570645027706,9.80547148904328e-05,0.0001226988841087
LHS 3154 b,10.255938121371951,0.0004803696188919,6.704773961952582,13.425951426817626,0.00028149251701,0.0006927610593301
YZ Cet d,41.33382990575704,0.0004797610129282,7.564231159227326,4.521953910708454,0.0001783497206616,0.0002654504434505
L 98-59 d,21.19450295967195,0.0004705512208355,8.71360963905648,5.476058527759204,0.0001850403469345,0.0003875771840396
HAT-P-16 b,36.49529450248706,0.0004646927240443,2.7429677608304743,2.5711298879222326,0.0001103830494112,0.000147717964137
KELT-24 b,29.328744658105343,0.0004599063849628,0.9048183052891368,0.873781152949924,0.0001457466688618,0.0003759430620731
YZ Cet b,59.62734628863787,0.0004283542890335,15.862475015941598,7.021004341807853,0.0001590351591907,0.0002751886806646
Ross 128 b,28.91748995129229,0.0004258874015201,4.580858403534442,3.1464217799807805,0.000163120057151,0.0002464957885994
CoRoT-18 b,41.17930022124417,0.0004172053880666,10.24221172668224,7.601657608281862,0.0002471525430483,0.0004925455849311
CD Cet b,46.68638659779356,0.0004137729989451,17.275716523861288,5.953928439836666,0.0002031899945657,0.0006160639107545
HD 68988 b,16.48991546744896,0.0003907436390695,6.138885975935802,3.0432778278547907,0.0001547718339426,0.0002882693947603
K2-100 b,29.39209460740552,0.0003709038001609,15.698276313423635,14.42993556686436,0.0001005855018588,0.0001543254079876
GJ 1061 b,50.97767757555534,0.0003508711596335,7.829418025538942,5.327034436818508,0.0001328362790016,0.0001786142063291
WASP-2 b,10.460886136132029,0.0003507545666588,1.3619875370613652,1.6146305573252508,0.0001296340117869,0.0002992149661
L 98-59 c,47.28660141193833,0.0003504233918774,5.380502684419191,4.978833618152919,0.0001296307541238,0.0002485661506812
GJ 1061 c,35.82727654894509,0.0003421962514414,5.114007256905801,3.840817002382863,0.0001261249687794,0.0001764724638905
TOI-2152 A b,26.445907166315465,0.0003307097544087,3.73821292669226,2.8481267478632795,8.568747730412199e-05,0.0001037050885964
L 98-59 e,22.358810008132643,0.0003303089392001,4.733576031709994,2.537129361572177,0.0001597210165035,0.0003389842544852
HIP 14810 b,26.44412785031296,0.0003227811807247,2.972772030859108,2.639276597234528,0.0001409146169369,0.0002594492207388
HD 3167 b,94.37457236774615,0.0003216777767936,11.494045177082782,9.877377230107584,0.0001154958400949,0.0002776339515456
LP 791-18 c,24.045904803079587,0.0003208773864734,6.899093618365328,5.343045542867873,0.0001444239046808,0.0003140762297485
HD 7924 b,23.199283262629983,0.0003111202547116,13.96179755643498,4.986909578938274,0.0001651375780524,0.0004037125787929
HD 63433 c,29.882011070224785,0.0002805554162795,27.9965932975644,2183.4734221708086,0.0002142841538923,0.0004589707728701
